id,name,survey_year,is_accredited,has_score,accreditation_body,max_score,score
33995,Vidya Prasarak Mandals K G Joshi College of Arts & N G Bedekar College of Commerce Chendani Bunder Road Thane 400 601,2015,TRUE,TRUE,NAAC,4,3.09
26154,SAP Degree College,2015,TRUE,TRUE,NAAC,4,2.58
6031,Anjuman B. Ed. College,2015,TRUE,TRUE,NAAC,4,2.42
17260,Birjhora Mahavidyalaya,2015,TRUE,TRUE,NAAC,4,2.72
6642,SHRI U P ARTS & SMT MGP SCI & SHRI VLS COMM COLLEGE,2015,TRUE,TRUE,NAAC,4,3.01
11029,Dhanajayrao Gadgil Colllege of Commerce,2015,TRUE,TRUE,NAAC,4,3.05
6635,SIR P.T. SCIENCE COLLEGE Modasa,2015,TRUE,TRUE,NAAC,4,2.8
11065,"Kratisinh Nana Patil Mahavidyalaya, WALAWE",2015,TRUE,TRUE,NAAC,4,2.86
711,Narmada College of Science & Commerce,2015,TRUE,TRUE,NAAC,4,2.79
711,Narmada College of Science & Commerce,2015,TRUE,TRUE,AAA-Gujarat,400,329
14686,Rasama College of Education,2015,TRUE,TRUE,NAAC,4,2.69
13673,"Pt. Deen Dayal Upadhyay Rajkiya Mahila Mahavidyalaya, Sewapuri, Varanasi",2015,TRUE,TRUE,NAAC,4,2.08
537,"Arts & Commerce College, Motapondha, Valsad",2015,TRUE,TRUE,NAAC,4,1.75
1197,"NA & TV Patel Arts College, Vallabh Vidyanagar",2015,TRUE,TRUE,NAAC,4,2.52
6106,Anjuman Education Trust M.Ed. College (Gujarati Medium),2015,TRUE,TRUE,NAAC,4,2.42
46595,"Government Science College, Vankal, Mangrol, Surat",2015,TRUE,FALSE,AAA-Gujarat,NA,NA
43604,"Victory College of Teacher Education Centr, Olathanni, Thiruvananthapuram",2015,TRUE,FALSE,NCTE,NA,NA
11083,"Vasant College of Education, URUN ISLAMPUR",2015,TRUE,TRUE,NAAC,4,3
7527,"Pratibha Niketan Mahavidyalaya,Nanded",2015,TRUE,TRUE,NAAC,4,2.48
33832,Mahatma Education SocietysPillais Institute of anagement Studies and Research Composite College Complex Campus Plot No.10 Sector-16 Podi No.2 New Panvel 410 206,2015,TRUE,TRUE,NBA,10,6.5
11227,"Sau. Mangaltai Ramchandra Jagtap Mahila Mahavidyalaya, UMBARJ",2015,TRUE,TRUE,NAAC,4,2.27
11045,"College of Non Conventional Courses for Women, C/o SIBER",2015,TRUE,TRUE,NAAC,4,3.02
43402,Ramkrishna Mission Vivekananda Centenary College,2015,TRUE,TRUE,NAAC,4,3.14
6923,"Pallagatti Adavappa Arts and Commerce First Grade College, Tiptur",2015,TRUE,TRUE,NAAC,4,3.5
6806,D D THAKAR ARTS & K J PATEL COMMERCE COLLEGE,2015,TRUE,TRUE,NAAC,4,2.72
603,"Dinshaw Daboo Law College, Navsari",2015,TRUE,TRUE,NAAC,4,1.94
22152,"Akal Degree College for Women, Sangrur",2015,TRUE,TRUE,NAAC,4,3.06
11056,"Smt. Meenalben Mehta College of Arts and Commerce, PANCHAGANI",2015,TRUE,TRUE,NAAC,4,2.04
19039,Jhargram Raj College,2015,TRUE,TRUE,NAAC,4,3
19063,Bajkul Milani Mahavidyalaya,2015,TRUE,TRUE,NAAC,4,2.66
32837,Institute of Information Technology & Management,2015,TRUE,TRUE,NAAC,4,2.58
10994,"Balasaheb Desai College, PATAN",2015,TRUE,TRUE,NAAC,4,2.52
9599,Iswar Chandra Vidyasagar College,2015,TRUE,TRUE,NAAC,4,2.19
11240,"Yashwantrao Chavan Institute of Science, Satara",2015,TRUE,TRUE,NAAC,4,3.38
7402,"Late Ramesh Warpudkar Arts & Commerce College, Sonpeth",2015,TRUE,TRUE,NAAC,4,2.03
42408,"SRI KANHAIYA MANIK CHAND MAHILA MAHAVIDYALAYA, BHAWANIPUR, SURAPUR, SULTANPUR",2015,TRUE,FALSE,dr ram manohar lohiya awadha university faizabad UP,NA,NA
34619,"Marathwada College of Education, Rozabagh.",2015,TRUE,TRUE,NAAC,4,4
7591,"Smt. Indira Gandhi Adhyapak Mahavidyalaya, Vasarni, Nanded",2015,TRUE,TRUE,NAAC,4,2
41395,"N.D.M.V.P.Samajs Karmaveer Kakasaheb Wagh Arts, Science & Commerce College,Pimpalgaon Baswant, Dist. Nashik 422209",2015,TRUE,TRUE,NAAC,4,3.02
30852,Rosary College of Commerce & Arts Navelim,2015,TRUE,TRUE,NAAC,4,3.21
11099,"Annasaheb Dange College of Engineering and Technology, ASHTA",2015,TRUE,TRUE,NAAC,4,3.01
9051,"B202 Amareshwar Degree College,Aurad(B)",2015,TRUE,TRUE,NAAC,4,2.5
6779,SHREE V R PATEL COLLEGE OF COMMERCE MEHSANA,2015,TRUE,TRUE,NAAC,4,3.02
359,"GOVERNMENT ENGINEERING COLLEGE, DAHOD 018",2015,TRUE,FALSE,AICTE,NA,NA
13744,"Grant Medical Foundation, Ruby Hall Clinics Tehmi Grant Institute of Nursing, Pune. (B.Sc.)",2015,TRUE,TRUE,NAAC,4,2.75
36468,Arya Kanya Degree College,2015,TRUE,TRUE,NAAC,4,4
34158,Shri Madhavji Lall Welfare & Educational Trusts Lords College of Law FILKA Daftary Road Opp Rly Stn Malad (E) Mumbai 400 097,2015,TRUE,TRUE,NAAC,4,4
33903,Maharashtra College of Arts Science and Commerce 246 A Bellasis Road Byculla Mumbai 400 008,2015,TRUE,TRUE,NAAC,4,3
12082,"SACRED HEART DEGREE COLLEGE, NAIPALPUR,",2015,TRUE,TRUE,NAAC,4,2.53
9146,"B206 Karnataka Arts Science & Commerce Degree College,Bidar",2015,TRUE,TRUE,NAAC,4,3.05
41991,"Pimpri Chinchwad Education Trusts College of Engineering, Nigdi, Pune 44",2015,TRUE,TRUE,NAAC,4,4
609,Rofel Arts & Commerce College,2015,TRUE,TRUE,NAAC,4,2.3
609,Rofel Arts & Commerce College,2015,TRUE,TRUE,AAA (GUJARAT),4,2.52
15787,KASTUBAI COLLEGE OF EDUCATION ASHOK CHWOK SOLAPUR DIST-SOLAPUR 413 006 MAHARASHTRA,2015,TRUE,TRUE,NAAC,4,2.43
928,"SHRI H.N.DOSHI ARTS & R.N.DOSHI COMMERCE COLLEGE, WANKANER",2015,TRUE,TRUE,NAAC,4,2.8
11090,"D. D. Shinde Sarkar College, Bhavani Mandap, Kolhapur",2015,TRUE,TRUE,NAAC,4,2.71
1178,"NH Patel College of Education, Anand",2015,TRUE,TRUE,NAAC,4,2.38
1178,"NH Patel College of Education, Anand",2015,TRUE,TRUE,AAA,4,2.76
681,Smt. R. P. Chauhan Arts & Smt. J. K. Shah & Shri K. D. Shah Commerce College,2015,TRUE,TRUE,NAAC,4,2.45
681,Smt. R. P. Chauhan Arts & Smt. J. K. Shah & Shri K. D. Shah Commerce College,2015,TRUE,TRUE,AAA,999,595.93
18556,Priyadarshini Women's College,2015,TRUE,TRUE,NAAC,4,2.57
23853,St. Joseph's College for Women,2015,TRUE,TRUE,NAAC,4,3.01
8831,"100100-G.H. RAISONI INSTITUTE OF ENGINEERING & MANAGEMENT, JALGAON.",2015,TRUE,TRUE,NAAC,4,2.38
5805,Shri S. P. Patel Arts College,2015,TRUE,TRUE,AAA Gujarat,999,406.64
11995,Umes Chandra College,2015,TRUE,TRUE,NAAC,4,2.8
18873,"Dayanand Arya Women's College, Jaripatka",2015,TRUE,TRUE,NAAC,4,2.72
34175,Mahatma Education Societys Pillais College of Education Chembur Naka Mumbai 400 071,2015,TRUE,TRUE,NAAC,4,3.12
17822,"Acharya Tulsi National Commerce College, Shimoga.",2015,TRUE,TRUE,NAAC,4,2.84
34638,"Terna Public Charitable Trust's Terna Arts, Science & Commerce College",2015,TRUE,TRUE,NAAC,4,2.1
6723,KADVA PATEL BED COLLEGE,2015,TRUE,TRUE,NAAC,4,1.53
22995,"Govt. Degree College, Dharmari",2015,TRUE,TRUE,NAAC,4,4
21432,"S. P. College, Srinagar",2015,TRUE,TRUE,NAAC,4,3.32
