Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
Delhi Technological University (Id: U-0098),154,44,16,1,3,1,22,2,0,0,1,0,NA,NA
"Devi Ahilya Vishwavidyalaya, Indore (Id: U-0270)",196,80,25,5,15,1,12,5,0,0,1,1,0,0
"Dev Sanskrit Vishwavidyalaya Gayatrikunj, Haridwar (Id: U-0551)",61,33,0,0,0,0,9,4,0,1,NA,NA,NA,NA
"Dharmsinh Desai univeristy, Nadiad (Id: U-0129)",194,93,4,0,2,1,7,0,0,0,0,0,0,0
"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar (Id: U-0130)",44,7,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Dibrugarh University, Dibrugarh (Id: U-0051)",180,87,1,2,1,0,32,18,0,0,0,0,0,0
"Doon University, Dehradun (Id: U-0552)",12,8,0,0,0,0,0,0,0,0,0,1,0,0
"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",48,21,7,5,3,2,21,11,0,0,0,0,0,0
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (Id: U-0298)",240,12,46,3,10,0,36,0,0,0,0,0,0,0
"Dr. Babasaheb Ambedkar Open University, Ahmedabad (Id: U-0131)",2,5,0,0,0,0,0,0,0,0,0,0,0,0
"Dr. Babasaheb Ambedkar Technological University, Lonere (Id: U-0299)",43,8,5,3,2,0,10,1,0,0,2,0,0,0
"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri (Id: U-0300)",221,15,26,3,2,0,13,1,1,0,4,0,0,0
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar (Id: U-0374)",92,24,2,0,0,1,5,0,1,1,0,0,0,0
"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",59,20,11,2,4,3,18,4,1,0,2,1,0,0
"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",79,27,6,2,0,0,15,2,0,0,1,0,0,0
"Dr.B.R.Ambedkar University, Etcherla (Id: U-0009)",47,17,11,3,3,0,32,11,0,0,0,0,0,0
"Dr. C. V. Raman University, Kota Bilaspur (Id: U-0084)",89,62,7,0,1,3,13,12,0,0,2,3,3,2
"Dr. D.Y.Patil Vidyapeeth, Pune (Id: U-0301)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dr. Harisingh Gaur Vishwavidyalaya, Sagar (Id: U-0271)",118,33,8,7,3,0,3,4,0,0,3,0,2,0
"Dr K N Modi University, Tonk (Id: U-0393)",51,10,0,0,0,0,0,0,0,0,2,0,2,0
"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola (Id: U-0302)",367,32,46,7,9,0,52,4,2,0,0,0,0,0
"Dr. Ram Manohar Lohia Awadh University, Faizabad (Id: U-0510)",47,4,5,1,0,0,2,2,0,0,1,0,0,0
"Dr. Ram Manohar Lohiya National Law University, Lucknow (Id: U-0511)",7,3,1,0,0,0,1,0,0,0,0,0,0,0
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan (Id: U-0181)",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"D.Y. Patil Educational Society , Kolhapur (Id: U-0294)",140,127,4,1,0,0,13,2,0,0,0,0,0,0
"Eastern Institute for Integrated Learning in Management University, Jorethang (Id: U-0429)",19,5,0,0,0,0,0,0,0,0,0,0,0,0
"Eternal University, Baru Sahib Sirmour (Id: U-0182)",68,53,0,0,0,0,2,0,0,0,0,0,31,17
"Fakir Mohan University, Balasore (Id: U-0354)",28,6,3,0,2,0,0,0,1,0,0,0,0,0
"Forest Research Institute, Dehradun (Id: U-0553)",46,16,7,0,1,0,4,0,2,0,2,0,0,0
GALGOTIAS UNIVERSITY (Id: U-0643),81,16,1,0,0,0,0,0,0,0,0,0,NA,NA
"Gandhigram Rural Institute, Dindigul (Id: U-0453)",110,34,12,6,3,3,7,1,3,0,0,1,0,1
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",346,192,36,24,13,1,123,50,0,0,NA,NA,NA,NA
"Ganpat Univeristy, Vidyanagar, Gandhinagar (Id: U-0132)",35,22,0,0,0,0,3,1,0,0,0,0,0,0
"Gauhati University, Guwahati (Id: U-0052)",199,120,0,1,0,0,0,0,1,0,NA,NA,NA,NA
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar (Id: U-0514)",63,35,7,2,1,0,15,4,0,0,2,1,61,34
"Gautam Buddh Technical University, Lucknow (Id: U-0549)",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar (Id: U-0554)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G.L.A University, Mathura (Id: U-0513)",199,56,0,0,0,0,32,5,1,1,0,0,0,0
"Goa University, Goa (Id: U-0121)",81,33,0,0,0,0,0,0,0,0,0,0,0,0
"Gokhale Institute of Politics & Economics, Pune (Id: U-0303)",20,5,3,1,2,0,2,0,0,0,0,0,0,0
GRAPHIC ERA PARVATIYA VISHWAVIDYALYA (Id: U-0638),40,7,0,0,0,0,1,0,0,0,0,0,0,0
"Graphic Era University, Dehradun (Id: U-0555)",275,129,1,1,0,0,23,3,0,0,0,0,0,0
"Gujarat Ayurveda University, Jamnagar (Id: U-0133)",17,5,0,0,0,0,0,1,0,0,0,0,0,0
"Gujarat Forensic Science University, Gandhinagar (Id: U-0593)",15,6,0,0,0,0,0,0,0,0,0,0,0,0
"Gujarat National Law University, Gandhinagar (Id: U-0134)",23,13,4,0,0,0,2,1,2,0,0,0,2,1
"Gujarat Technological University, Ahmedbabd (Id: U-0135)",1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Gujarat University, Ahmedabad (Id: U-0136)",72,43,9,2,2,0,13,1,0,0,0,0,3,3
"Gujarat Vidyapith, Ahmedabad (Id: U-0137)",81,31,15,2,8,0,5,0,1,0,0,0,0,0
"Gulbarga University, Gulbarga (Id: U-0219)",107,24,23,4,8,1,18,5,0,0,0,1,1,0
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana (Id: U-0375)",113,28,0,2,0,0,1,0,0,0,1,0,43,15
"Guru Ghasidas Vishwavidyalaya, Bilaspur (Id: U-0085)",237,69,26,9,7,8,42,7,1,0,2,1,2,2
Guru Gobind Singh Indraprastha University (Id: U-0099),91,71,8,2,1,0,0,0,1,0,0,0,0,0
"Guru Jambheshwar University of Science and Technology, Hissar (Id: U-0162)",176,102,29,10,0,0,8,5,2,0,NA,NA,NA,NA
GURU KASHI UNIVERSITY (Id: U-0653),95,29,9,3,0,0,12,1,0,0,1,0,9,3
"Gurukul Kangri Vishwavidyalaya, Haridwar (Id: U-0556)",153,44,11,1,2,0,14,1,1,0,0,0,0,0
"Guru Nanak Dev University, Amritsar (Id: U-0376)",161,105,5,7,0,0,0,0,2,0,0,0,0,0
"Hemchandracharya North Gujart University, Patan (Id: U-0138)",53,20,1,1,1,0,10,3,0,0,0,0,0,0
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal (Id: U-0557)",280,101,8,4,1,0,4,9,1,1,2,1,0,0
"Hidayatullah National Law University, Raipur (Id: U-0086)",22,9,0,0,0,0,1,0,0,0,1,0,0,2
"HIHT University, Dehradun (Id: U-0558)",214,127,0,0,0,0,0,0,0,0,NA,NA,0,0
"Himachal Pradesh Technical University, Hamirpur (Id: U-0598)",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Himachal Pradesh University , Shimla (Id: U-0183)",239,84,20,2,3,5,3,2,1,0,0,0,0,0
"Himgiri Zee University, Dehradun (Id: U-0559)",6,8,0,0,0,0,0,0,0,0,0,0,0,0
"Hindustan Institute of Technology and Science, Kancheepuram (Id: U-0454)",197,137,12,9,1,0,160,116,2,0,1,0,0,0
"Homi Bhabha Natioanal Institute Knowledge Management Group, Mumbai (Id: U-0304)",633,72,0,0,0,0,0,0,0,0,0,0,0,0
"Homoeopathy University, Jaipur (Id: U-0607)",51,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"ICFAI Foundation for Higher Education, Hyderabad (Id: U-0012)",102,21,0,0,0,0,0,0,0,0,0,0,0,0
ICFAI UNIVERSITY (Id: U-0635),10,2,1,0,0,0,0,0,0,0,0,0,0,0
"IFTM University, Moradabad (Id: U-0515)",235,55,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"I.I.S. University, Jaipur (Id: U-0394)",22,182,0,0,0,0,2,5,0,0,0,0,0,0
Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi. (Id: U-0101),403,153,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Indian Institute of Foreign Trade, Delhi (Id: U-0102)",22,14,0,1,0,0,4,0,1,1,0,0,2,3
"Indian Institute of Information Technology, Allahabad (Id: U-0516)",43,3,1,0,0,0,6,0,0,0,0,0,0,0
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram (Id: U-0455)",15,2,1,0,0,0,3,1,0,0,2,0,2,1
"Indian Institute of Science, Bangalore (Id: U-0220)",441,41,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Indian Institute of Science Education & Research (IISER), Bhopal (Id: U-0272)",35,6,0,0,0,0,0,0,0,0,0,0,0,0
