Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
"SHRI R L T INSTITUTE OF PHARMACEUTICAL SCIENCE AND TECHNOLOGY COLLEGE, ETAWAH (Id: C-46738)",20,3,3,0,0,0,7,1,0,0,2,1,0,0
"SHRI RLT INSTIUTE OF MANAGEMENT, ETAWAH (Id: C-46739)",9,1,0,0,0,0,4,0,0,0,0,0,0,0
"Shri Roopkala Sanskrit Vidyapeeth, Divyakalakunj, Ayodhya (Id: C-20451)",4,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri R. P. Anada College of Education (Id: C-6011),5,3,1,0,1,0,1,2,0,0,0,0,0,0
"Shri R. P. Arts, Shri K. B. Commerce and Smt. B. C. J. Science College (Id: C-5935)",24,4,4,0,3,0,5,0,0,0,0,0,0,0
"Shri R. R. Lahoti Science College , Morshi. (Id: C-42839)",10,2,5,1,0,0,2,1,0,0,0,0,0,0
"Shri R. R. Lalan College of Arts & Science, (Id: C-4129)",13,5,2,0,0,1,0,3,0,0,0,0,0,0
"Shri Rukmini Ballabh Ved Vedant Sanskrit Mahavidyalaya, Avantika Ahar (Id: C-20084)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Saai Institute of Tech.New R.T.O.Office, Jaora Road, Ratlam (Id: C-32605)",9,16,0,0,0,0,0,1,0,0,0,0,0,0
"Shri Sachchidanand Adarsh Sanskrit Pathshala, Bhurkuda (Id: C-20417)",3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sachha Adhyatma Sanskrit Mahavidyalaya, Arail, Naini (Id: C-20144)",17,2,0,0,0,0,1,0,0,0,0,0,0,0
"Shri Sachha Adhyatma Sanskrit Mahavidyalaya, Sakaldiha (Id: C-20121)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
SHRI SADASHIVA CAMPUS (Id: C-27022),43,14,4,0,1,0,1,2,0,0,0,0,0,0
Shri Sadguru Vamanbaba Maharaj Shikshan Prasarak Mandals Eknath B Madhavi Senior College of Arts Commerce and Science Arye Dombivli E Dist Thane 421 201 (Id: C-34022),8,18,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sadhubela Sanskrit Mahavidyalaya, Sakarkand Gali (Id: C-20431)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHRI SADVIDHYA MANDAL INSTITUTE OF TECH.,(045) BHARUCH (Id: C-197)",62,26,1,1,0,0,6,3,0,0,0,0,0,0
Shri Sahajanand Arts & Commerce College (Id: C-5875),16,3,0,1,2,0,4,1,0,0,0,0,0,0
SHRI SAHAJANAND INSTITUTE OF RURAL STUDIES B R S (Id: C-47829),2,1,0,0,0,0,0,0,0,0,0,0,0,0
Shri Sahajanand Vanijya Mahavidyalaya (Id: C-5898),11,4,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sahdev Sanskrit Mahavidyalaya, Maharajganj (Id: C-20274)",4,0,0,0,0,0,1,0,0,0,0,0,0,0
"SHRI.SAHYADRI DEGREE COLLEGE, BIJAPUR (Id: C-9981)",11,4,1,0,0,0,9,4,0,0,0,0,0,0
"Shri Saibaba College for Teachers Training, Saibabanagar, Indore (Id: C-29689)",2,5,0,0,1,0,0,0,0,0,0,0,0,0
Shri Sai Baba College of Education (Id: C-10701),6,4,0,0,0,0,2,2,0,0,0,0,0,0
SHRI SAI BABA COLLEGE OF EDUCATION (Id: C-28118),3,4,0,0,0,0,1,0,0,0,0,0,0,0
"Shri Sai College of Education, Lohara, Yavatmal. (Id: C-42865)",1,3,0,1,0,0,0,0,0,0,0,0,0,0
"Shri Sai Institute of Engineering and Technology, Vadiyampet, Anantapur (Id: C-26975)",51,54,4,4,3,0,20,30,0,0,2,3,0,1
"Shri Sainath College, Sehora (Id: C-19219)",3,5,0,0,0,0,1,2,0,0,0,0,0,0
"SHRI SAMANVAY INSTITUTE OF PHARMACY, (256)BOTAD (Id: C-64)",10,0,3,0,0,0,3,0,0,0,0,0,0,0
"Shri Sampatrao Mane Mahavidyalaya, KHANAPUR (Id: C-11108)",26,2,0,0,0,0,0,2,0,0,0,0,0,0
"Shri Sanatan Bhairav Shankar Brahm Sanskrit Mahavidyalaya, Bariya Ghat (Id: C-20542)",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Adarsh Sanskrit Mahavidyalaya, Hiraj Patti, Madhuban (Id: C-20064)",2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Shri Sanatan Dharm Sanskrit Mahavidyalaya (Id: C-20318),5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Sanskrit Mahavidyalaya, (Id: C-20192)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Sanskrit Mahavidyalaya, Chandausi (Id: C-20488)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Sanskrit Mahavidyalaya, Mehadaval (Id: C-20199)",3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Sanskrit Mahavidyalaya, Muktishwarnath, Hasoopur (Id: C-20243)",8,4,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Sanskrit Mahavidyalaya, Navabganj (Id: C-20397)",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Sanskrit Mahavidyalaya, Ratanganj, Yudhisthir Patti, Ahraula (Id: C-20017)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Dharm Sanskrit Mahavidyalaya, Revatipur (Id: C-20587)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanatan Sanskrit Mahavidyalaya, Jalalpur (Id: C-20405)",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sandeepni Vigyan Sansthan , College, Rahod (Id: C-22300)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHRI SANGAMESHWAR ARTS/COMM,BSW COLLEGE, CHADCHAN (Id: C-9896)",14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sangveda Adarsh Sanskrit Mahavidyalaya, Tameshwarnath (Id: C-20457)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sangved Sanskrit Mahavidyalaya, Hanumangarhi (Id: C-20024)",6,0,0,0,0,0,1,0,0,0,0,0,0,0
"Shri Sangved Sanskrit Mahavidyalaya, Hatwa Bazar Bhatani (Id: C-20139)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sangved Sanskrit Mahavidyalaya, Nagharipur, Mustafabad (Id: C-20545)",6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sankat Mochan Sanskrit Mahavidyalaya, Cheebo (Id: C-20106)",4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sankatmochan Sanskrit Mahavidyalaya, Suriyava (Id: C-20553)",7,0,0,0,0,0,2,0,0,0,0,0,0,0
"Shri Sankirtan Brahmcharyashram Sanskrit Mahavidyalaya, Jhoonsi, Prayag (Id: C-20325)",9,2,0,0,0,0,1,0,0,0,0,0,0,0
Shri Sankracharya College Sector-6 Bhilai Nagar (Id: C-21849),18,39,1,1,0,1,2,3,0,0,0,0,0,0
"SHRI SANSKARDHAM B.ED. COLLEGE, RAJKOT (Id: C-721)",1,8,0,0,0,0,0,4,0,0,0,0,0,0
"Shri Sanskrit Mahavidyalaya, Rampur (Id: C-20474)",5,0,0,0,0,0,2,0,0,0,0,0,0,0
"Shri Sanskrit Pathshala, Ramkaula (Id: C-19965)",4,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Shri. Sant Gadagebaba Mahavidyalaya, KAPASHI (Id: C-11038)",10,0,3,0,1,0,4,0,0,0,0,0,0,0
"Shri Sant Gadge Maharaj Adhyapak Mahavidyalaya, Hingoli (Id: C-7597)",5,3,2,1,0,0,2,1,0,0,0,0,0,0
"Shri Sant Gajanan Maharaj Arts and Science College, 1-3orgaon-Manju (Id: C-43215)",8,1,1,0,0,0,4,0,0,0,0,0,0,0
"Shri Sant Gajanan Maharaj Engineering College, Shegaon. (Id: C-42835)",106,5,1,1,0,0,3,0,0,0,1,0,0,0
SHRI SANTI KISHOR EDUCATION COLLGE (Id: C-34970),6,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA
"Shri Santkripa College of Pharmacy, GHOGAON, (Id: C-11047)",14,8,1,0,0,0,1,1,0,0,0,0,0,0
"Shri Santkrupa Institute of Education, GHOGAON (Id: C-11216)",2,8,0,1,0,0,0,0,0,0,0,0,0,0
"Shri Sant Tukaram Shikshan Prasarak Mandals College of Education, Officiating Principal, Wadgaon Maval, Dist. Pune (Id: C-41884)",4,5,1,0,0,0,1,1,0,0,NA,NA,NA,NA
"Shri Sanyasi Sanskrit Mahavidyalaya, Dhundhiraj Gali (Id: C-20030)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sanyasi Sanskrit Pathashala, Rajadepur, Sagari (Id: C-20448)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri Sapthagiri Institute of Technology (Id: C-16502),38,15,1,0,0,0,0,0,0,0,0,0,0,0
"Shri Sarasvati Brahmacharyashram Sanskrit Mahavidyalaya, Parmat (Id: C-20505)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri Saraswathi College of Education (Id: C-14557),2,5,2,1,0,0,0,4,0,0,0,0,0,0
SHRI SARASWATI B.ED. COLLEGE-RAJKOT (Id: C-756),5,3,1,0,0,0,1,2,1,0,0,0,0,0
"SHRI SARASWATI COLLEGE OF COMMERCE, B.B.A. & I.T., DHORAJI (Id: C-815)",9,10,1,0,1,0,0,0,0,0,0,0,0,0
SHRI SARASWATI COLLEGE OF EDUCATION -GIR GADHADA(UNA) (Id: C-858),3,3,0,0,0,0,0,3,0,0,0,0,0,0
Shri Saraswati College of Social Work (Id: C-472),6,2,1,0,2,1,1,0,0,0,0,0,0,0
SHRI SARASWATI GRAM VIDHYAPITH SAMODA GANWADA (Id: C-6840),4,1,0,0,1,0,0,1,0,0,0,0,0,0
"Shri Saraswati Gurukul Vidyapeeth, Munari (Id: C-20268)",8,1,0,0,0,0,0,0,0,0,0,0,0,0
Shri Saraswati Hindi Mahavidhyalaya (Id: C-651),7,7,0,0,0,0,0,0,0,0,0,0,0,0
"Shri. Saraswati Sanskrit Degree College, Dangar, Teh. Ghurmarwin. Distt Bilaspur (Id: C-11308)",6,1,0,0,0,0,0,0,6,1,0,0,0,0
"Shri Saraswati Sanskrit Mahavidyalaya, Guravat, Cholapur (Id: C-20585)",7,4,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Saraswati Sanskrit Pathshala, Pandit Ke Rampur, Bariyarpur (Id: C-19992)",2,1,0,0,0,0,0,0,0,0,0,0,0,0
SHRI SARASWATI SHIKSHAN MAHAVIDHYALAYA (Id: C-6758),6,2,2,0,0,0,4,0,0,0,0,0,0,0
Shri Sarayu Ramanand Sanskrit Mahavidyalaya (Id: C-1114),5,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri Sardar Patel College of Education (Id: C-497),4,5,0,0,0,0,3,1,0,1,0,0,0,0
Shri Sardar Patel College of Modern Education (B. C. A.) (Id: C-613),1,6,0,0,0,0,0,2,0,0,0,1,0,0
SHRI SARDAR PATEL MAHILA B.ED.COLLEGE-JUNAGADH (Id: C-727),3,6,0,0,0,0,0,1,0,0,0,0,0,0
"SHRI SARDAR SINGH SMARK MAHAVIDYALAYA NAGLA BATUL POST NARUPURA,ALIGARH (Id: C-15321)",19,20,4,6,0,0,5,8,0,0,1,0,0,0
"Shri Sarvadharmini Sanskrit Pathshala, Janaki Ghat, Ayodhya (Id: C-20493)",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHRI SARVAJANIK BCA AND PGDCA COLLEGE, MEHSANA (Id: C-45110)",3,4,0,1,0,0,0,1,0,0,0,0,0,0
Shri Sarvajanik College of Education (Id: C-5976),6,1,0,1,2,0,1,0,0,0,0,0,0,0
Shri Sarvajanik Commerce College (Id: C-5929),4,1,0,0,1,0,0,0,0,0,0,0,0,0
SHRI SARVAJANIK EDUCATION BED COLLEGE (Id: C-6792),6,4,4,0,0,0,2,4,0,0,0,0,0,0
SHRI SARVAJANIK EDUCATION MED COLLEGE (Id: C-6882),6,1,0,0,0,0,3,0,0,0,0,0,0,0
"SHRI SARVAJANIK MSW COLLEGE, MEHSANA (Id: C-45111)",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"SHRI SARVODAYA EDU AND SOCIAL WORK INST, RAIBAG (Id: C-10159)",7,0,2,0,0,0,3,0,0,0,0,0,0,0
"SHRI SARVODAY COLLEGE OF COMPUTER SCIENCE,-RAJKOT (Id: C-862)",5,9,0,0,0,0,2,2,0,0,0,0,0,0
SHRI SATHYA SAI MEDICAL COLLEGE AND RESEARCH INSTITUTE (Id: C-47765),209,91,0,0,0,0,0,0,0,0,0,0,0,0
"SHRI SATSANGI SAKETDHAM `RAM ASHRAM` GROUP OF INSTITUTIONS, (091)Vadasma (Id: C-239)",34,10,0,0,0,0,10,4,0,0,0,0,0,0
"SHRI SATYAPRAKASH COLLEGE OF MANAGEMENT AND COMPUTER SCIENCE, RAJKOT (Id: C-995)",6,1,0,0,0,0,2,0,0,0,0,0,0,0
"Shri Satya Sai College of Education, Nadaun, Vill Kohla, Distt Hamirpur (Id: C-11462)",2,9,1,0,0,0,0,0,0,0,0,0,0,0
"Shri Saudamini Sanskrit Mahavidyalaya, 149 Vivekanand Marg (Id: C-20546)",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHRI SAURASHTRA COLLEGE OF MANAGEMENT & COMPUTER SCIENCE, ATKOT (Id: C-1054)",9,3,2,0,0,0,3,1,0,0,0,0,0,0
SHRI SAURBH ARTS COLLEGE-GDU(JUNAGADH) (Id: C-849),8,3,4,0,0,0,1,2,0,0,0,0,0,0
Shri S.B.S. Ayurvedic Medical College and Hospital Mundargi (Id: C-44856),32,4,0,0,0,0,0,0,0,0,0,0,0,0
Shri S. D. Patel Arts & C. M. Patel Commerce College (Id: C-5870),4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Seetaramji Munde Arts & Commerce College, Jintur (Id: C-7558)",12,0,4,0,0,0,6,0,1,0,0,0,0,0
"Shri Seth Gayadeen Sanskrit Mahavidyalaya, Gundaura, Daudpur (Id: C-20413)",6,0,0,0,0,0,1,0,0,0,0,0,0,0
Shri S. G. Patel Arts & Shri P. K. Desai Commerce College (Id: C-656),12,3,1,0,6,1,2,1,0,0,0,0,0,0
Shri S. G. Rao College of Teacher Education (Id: C-6020),7,2,3,0,1,0,0,1,0,0,0,0,0,0
"Shri Shahaji Chhatrapati Mahavidyalaya,Dasara Chowk, (Id: C-11088)",24,4,8,1,1,0,1,0,0,0,1,0,0,0
SHRI SHAILESH CHANDULAL GANDHI B C A COLLEGE (Id: C-47813),1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shakha Gurukul Vanprasthashram, Ranjaur, Makhadoom Nagar, Tanda (Id: C-20089)",5,2,0,0,0,0,4,2,0,0,0,0,0,0
"SHRI SHAKTI DEGREE COLLEGE, SHAKHAHARI, HARBASPUR, (Id: C-12451)",18,11,0,2,0,0,3,2,0,0,0,0,0,0
"Shri Shakti Sanskrit College, Shri naina Devi. Distt Bilaspur (Id: C-11380)",7,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri Shambhubhai V. Patel College of Computer Science & Business Management (Id: C-535),9,8,0,0,0,0,3,0,0,0,0,0,0,1
SHRI SHAMLAJI HOMOEPETHIC MEDICAL COLLEGE (Id: C-6743),37,7,3,0,0,0,0,0,0,0,6,1,0,0
Shri Shankaracharya Abhinav Sachhidanandtirth Sanskrit Mahavidyalaya (Id: C-1128),4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shankaracharya College of Engineering and Technology, Bhilai (Id: C-16661)",180,78,6,0,3,0,15,11,0,0,0,0,0,0
"SHRI SHANKARACHARYA COLLEGE OF NURSING, AAMDI NAGAR, HUDCO, BHILAI (Id: C-33013)",0,28,0,3,0,0,0,1,0,0,0,0,0,3
"Shri Shankaracharya Engineering College Junwani, Bhilai. (Id: C-16648)",50,33,2,0,0,0,9,6,0,0,0,1,3,0
"Shri Shankaracharya Institute of Engineering & Technology Village Khapri, (Id: C-16662)",57,28,1,1,0,0,7,2,0,0,NA,NA,NA,NA
Shri Shankaracharya Institute of Pharmaceutical Sciences Bhilai. (Id: C-16655),15,2,0,0,0,0,6,1,0,0,NA,NA,NA,NA
Shri Shankaracharya Institute of Professional Management & Technology Mujgahan (Id: C-16652),72,23,0,0,0,0,1,0,0,0,0,0,0,0
Shri Shankaracharya Institute of Technology and Mgmt. Bhilai (Id: C-16649),67,41,0,0,0,0,0,0,0,0,1,1,0,0
Shri Shankaracharya Mahavidyalaya (MBA) (Id: C-20591),11,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Shri Shankaracharya Mahavidyalaya (MCA) Junwani, Bhilai (Id: C-16630)",7,5,0,0,0,0,3,1,0,0,NA,NA,NA,NA
SHRI SHANKAR BED COLLEGE (Id: C-6634),3,5,1,1,1,0,0,1,0,0,0,0,0,0
"Shri Shankar Sanskrit Mahavidyalaya, Manikavali (Id: C-20044)",2,0,0,0,0,0,1,0,0,0,0,0,0,0
"Shri Sharada B.Ed. College, BM Road, Ramanagaram-571 511. (Id: C-20819)",6,2,4,2,0,0,2,0,0,0,0,0,0,0
"Shri Sharada First Grade College, SPG Colony, Tavarekere, Magadi Main Road, Bangalore-560 0130 Ph:9449194511 (2011-12) (Id: C-21057)",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Shri Sharada Sanskrit Mahavidyalaya, 103 Vidyant Marg (Id: C-20154)",3,3,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sharad Kumari Sanskrit Mahavidyalaya, Kaniyar, Baraganv (Id: C-20349)",6,3,0,0,0,0,1,0,0,0,0,0,0,0
"Shri Shastratha Sanskrit Mahavidyalaya, Dashaswamedh (Id: C-20410)",7,1,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shastri TT College, Sikar (Id: C-39010)",7,4,0,0,0,0,6,4,0,0,0,0,0,0
Shri Shikshayatan College (Id: C-11880),5,62,0,0,0,0,0,0,0,0,0,2,0,0
SHRI SHIPRA COLLEGE OF COMPUTER SCIENCE & TECH.-RAJKOT (Id: C-825),5,8,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shirdi Sai Institute of Science and Engineering(9A), Vadiyampet, Anantapur (Id: C-26960)",65,33,3,3,6,0,31,21,0,0,4,1,1,0
"Shri Shiridi Sai Ram Degree College, Atmalur (Id: C-24817)",16,1,4,0,0,0,9,1,0,0,2,0,0,0
"Shri Shivaharsh Devanarayan Bhagvat Prasad Sanskrit Mahavidyalaya, Poore Hanuman Deenpur, Akodhhi (Id: C-20328)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shivaji Arts , Commerce College , Morshi Road,Amravati. (Id: C-43051)",24,10,5,0,0,0,10,4,0,0,0,0,0,0
"Shri Shivaji Arts, Commerce & Science, College, Akola. (Id: C-43019)",109,33,23,3,4,0,47,22,3,0,8,0,1,0
"Shri Shivaji College, Vasmat Road, Parbhani (Id: C-7371)",44,6,9,1,3,0,13,1,2,0,0,0,0,0
"Shri Shivaji Education(Sharirik Shikshan) College, Panchwati Chowk,Amravati. (Id: C-43177)",15,7,2,0,1,0,6,1,0,0,0,0,0,0
"Shri Shivaji Education Societys Smt. Ratnaprabhadevi Patil Mahila Mahavidyalaya, Bawada, Tal.Indapur, Dist.Pune 413114 (Id: C-42182)",7,2,2,0,0,0,0,1,0,0,0,0,0,0
"Shri Shivaji Law College, Kandhar (Id: C-7546)",4,1,1,0,0,0,0,0,0,0,0,0,0,0
"Shri Shivaji Law College, Vasmat Road, Parbhani (Id: C-7451)",7,3,2,0,0,0,2,0,0,0,0,0,0,0
SHRI SHIVAJI MAHAVIDHYALAYA BARSHI TAL.BARSHI DIST-SOLAPUR (Id: C-15763),40,11,5,1,1,0,4,1,0,0,0,0,0,0
"Shri Shivaji Maratha Societys Adhyapak Mahavidyalaya, Aranyeshwar, Pune 9 (Id: C-41617)",4,5,1,1,0,0,2,0,1,0,0,0,0,0
"Shri Shivaji Maratha Societys Institute of Management and Research,Parvati, Aranyeshwar, Pune 411009 (Id: C-41544)",11,5,1,0,0,0,2,0,0,0,0,0,0,0
"Shri Shivaji Maratha Societys Law College, Shukrawar Peth, Pune 2 (Id: C-41521)",2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shivaji Maratha Societys Samajbhushan Babhrao alias Appasaheb Jedhe Arts & Commerce College, Shukrawar Peth, Pune 2 (Id: C-42230)",27,17,8,2,1,0,6,2,0,0,0,0,0,0
"Shri Shivaji Science and Arts College , Chikhali. (Id: C-42869)",23,5,6,0,0,1,6,2,0,0,0,0,0,0
"Shri Shivaji Science College , Morshi Road , Amravati. (Id: C-43229)",44,14,6,2,2,0,32,12,0,0,1,0,0,0
"Shri Shivaji Shikshan Prasarak Mandals Arts,Science & Commerce College, Rahuri, Dist.Ahmednagar 413705 (Id: C-41573)",31,3,3,1,0,0,5,0,0,0,2,0,1,0
"Shri Shivaji Shikshan Prasarak Mandals Shri Chhatrapati Shivaji College of Engineering, Shri Shivajinagar Rahuri Factory, Dist. Ahmednagar (Id: C-41686)",30,11,1,2,0,0,3,0,0,0,0,0,0,0
"Shri Shivasharma Sanskrit Mahavidyalaya, Daraganj (Id: C-20008)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri Shivayogeeshwara Ayurvedic Medical College (Id: C-40150),35,13,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shiv Charan Mathur Government College, Mandalgarh (Id: C-13285)",8,4,0,0,0,0,3,0,0,0,0,0,0,0
"Shri Shivprassan Sanskrit Mahavidyalaya, Sathi Baveru (Id: C-20319)",5,0,0,0,0,0,2,0,0,0,0,0,0,0
"Shri Shiv Sanatan Dharm Sanskrit Mahavidyalaya, Belwai (Id: C-20446)",10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shivshankar Sanskrit Mahavidyalaya, Nagarpanchayat, Ghosia (Id: C-20265)",10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shivshanti Sanskrit Mahavidyalaya, Chaubepur (Id: C-20021)",6,4,0,1,0,0,1,0,0,0,0,0,0,0
"Shri Shraddha Nath Teacher Edu. College, Jhunjhunun (Id: C-38735)",8,1,4,0,1,0,2,1,0,0,0,0,0,0
"Shri Shradha Nath PG Mahavi., Jhunjhunun (Id: C-38343)",74,6,9,0,3,0,31,6,0,0,0,0,0,0
"SHRI SHREYAS BCA COLLEGE, UNJHA (Id: C-47443)",2,2,0,0,0,0,0,0,0,0,0,0,0,0
"SHRISHTI COLLEGE OF NURSING, GUJARATI SHIKSHAN SANGH PARISAR, JAI STAMBH CHOWK (Id: C-32990)",0,18,0,0,0,2,0,9,0,0,0,0,0,0
"SHRISHTI COLLEGE OF NURSING, RAJGAMAR ROAD, IN FRONT OF DISTT.-JAIL (Id: C-33022)",3,14,0,1,0,1,1,3,0,0,0,0,2,6
"Shri Shubhash Sanskrit Mahavidyalaya, Miranpur (Id: C-20117)",3,2,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Shyam College, Baran (Id: C-19488)",5,3,0,0,0,0,0,0,0,0,0,1,0,0
"Shri Shyam Girls College, Alwar (Id: C-38890)",9,1,2,0,0,0,5,1,0,0,0,0,0,0
"Shri Shyam PG Mahavi., Jhunjhunun (Id: C-38794)",22,4,1,0,0,0,18,4,0,0,1,0,0,0
SHRI SIDDALINGESHWAR B.C.A COLLEGE GOKAK (Id: C-9983),5,2,1,0,0,0,0,0,0,0,0,0,0,0
"SHRI SIDDARAMAPPA BASAPPA MAMDAPUR ARTS/SCI/COMM/COLLEGE, BADAMI (Id: C-10059)",39,2,0,0,0,0,5,0,0,0,2,0,0,0
"SHRI SIDDARAMESHWARA ARTS DEGREE COLLEGE, MORATAGI (Id: C-10183)",6,0,2,0,1,0,1,0,0,0,0,0,0,0
"Shri Siddarameshwar Education College,Kalyan Nagar, Dharwad. (Id: C-35542)",5,3,0,0,0,0,4,0,1,0,NA,NA,NA,NA
"SHRI SIDDESHWARA ARTS AND COMM COLLEGE, HARUGERI (Id: C-10185)",7,0,0,0,0,0,7,0,0,0,0,0,0,0
"Shri Siddheshwar Nath Adarsh Sanskrit Mahavidyalaya, Kuti Kotawa, Narayanpur (Id: C-20453)",3,0,0,0,0,0,1,0,0,0,0,0,0,0
Shri Siddheswar Adivasi College Gorpar (Id: C-22409),2,6,0,2,0,0,2,2,0,0,0,0,0,0
"SHRI SIDDHIVINAYAK ART COMMERS AND SCIENCE COLLEGE, BEJADANDI (Id: C-47363)",2,5,1,1,0,1,1,3,0,0,0,0,0,0
"SHRI SIDDHIVINAYAKA RURAL COLLEGE OF EDUCATION, HARUGERI (Id: C-10144)",6,2,3,1,0,0,3,1,0,0,0,0,0,0
"SHRI SIDDHIVINAYAKA RURAL PG CENTER, HARUGERI, (PG) (Id: C-9985)",5,1,2,0,0,1,3,0,0,0,0,0,0,0
SHRI SIDDHI VINAYAK MAHAVIDYALAYA GOVERDHAN ROAD MATHURA (Id: C-15529),36,23,0,0,0,0,0,0,0,0,0,0,0,0
"Shri Sidhpith Mahamaya Education College, Bilaspur (Id: C-22353)",3,3,0,0,0,0,0,0,0,0,0,0,0,0
Shri Sitaram Gupta Sanskrit Mahavidyalaya (Id: C-1134),3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shri SitaRam Jaju Govt. Girls College, Neemuch (Id: C-31723)",13,26,3,7,0,0,3,1,2,0,0,0,0,0
"Shri Sitaram Jayram Anglo Sanskrit Mahavidyalaya, Sumerpur (Id: C-20072)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
SHRI S.J.THAKKAR B.ED.COLLEGE-RAJKOT (Id: C-1059),5,3,1,0,0,1,2,0,0,0,0,0,0,0
"Shri. S.K.Patil Shikshanshastra Mahavidyalaya, Prayag Chikhali (Id: C-11114)",2,8,0,3,0,0,0,1,0,0,0,0,0,0
SHRI S.K SHAH & SHRI KRISHNA O M ARTS COLEGE (Id: C-6708),29,18,4,2,4,2,4,6,0,0,2,0,0,0
"SHRI & SMT P K KOTAWALA ARTS COLLEGE,PATAN (Id: C-6809)",21,5,4,0,1,0,4,2,0,0,0,0,0,0
"Shri Someshwar Shikshan Prasarak Mandals Someshwar Vidnyan Mahavidyalaya,Someshwar, Tal.Baramati, Dist.Pune (Id: C-42041)",15,8,2,0,0,0,5,1,0,0,0,0,0,0
Shri S. P. Patel Arts College (Id: C-5805),8,1,0,0,2,0,1,1,0,0,0,0,0,0
"Shri S.R. B.Ed. College, Patroda (Id: C-36636)",5,3,0,0,0,0,3,1,0,0,0,0,0,0
Shri S. R. Bhabhor Arts College (Id: C-5804),9,1,1,0,1,0,2,0,0,0,0,0,0,0
"Shrisrishna Shikshan Sanstha's Shrikrishna Mahavidyalaya, Gunjoti, (Id: C-34393)",52,7,13,2,0,0,14,0,0,0,4,2,0,0
Shri S. R. Patel B. Ed. College (Id: C-566),5,2,1,0,0,1,3,0,0,0,1,0,0,0
