Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
20491,Tamil Nadu,Vellore,College Institution,Cuddalore,"M.R.K.College of Arts and Science,pazhzchanallurANDPost,Kattumannarkudi-608 301",267,200,467,16,16,32,14
20492,Tamil Nadu,--,Teacher Training,Cuddalore,VINAYAGA TEACHER TRAINING INSTITUTE CUDDALORE,70,44,114,6,0,6,19
20493,Tamil Nadu,Chennai,College Institution,Coimbatore,"AYURVEDHA COLLEGE COIMBATORE, COIMBATORE",217,182,399,30,10,40,9
20494,Tamil Nadu,--,Teacher Training,Thoothukkudi,ROSAMMAL TEACHER TRAINING INSTITUTION FOR WOMEN POOPALRAYER PURAM,177,177,354,0,9,9,39
20495,Tamil Nadu,Chennai,College Institution,Dharmapuri,Lakshmi Ammal College of Education for Women,100,100,200,1,7,8,25
20496,Tamil Nadu,--,Teacher Training,Nagapattinam,SRI RAM TEACHER TRAINING INSTITUTE VELIPPALAYAM,94,94,188,5,5,10,18
20497,Tamil Nadu,Chennai,College Institution,Kanniyakumari,"N.V.K.S.D. College of Education, (Aided)",158,120,278,5,6,11,25
20498,Tamil Nadu,--,Technical/Polytechnic,Chennai,INSTITUTE OF LEATHER TECHNOLOGY -,215,6,221,6,7,13,17
20499,Tamil Nadu,Chennai,College Institution,Kancheepuram,"Sri Krishna College of Education, Kancheepuram",100,67,167,7,1,8,20
20500,Tamil Nadu,--,Technical/Polytechnic,Krishnagiri,SRI VINAYAGA POLYTECHNIC COLLEGE PUDHUMOTTUR,531,33,564,38,10,48,11
20501,Tamil Nadu,Chennai,College Institution,Thiruvallur,Jaya Suriya Engineering College,344,57,401,12,10,22,18
20502,Tamil Nadu,--,Nursing,Vellore,SRI JEYA SCHOOL OF NURSING VELLORE,57,57,114,1,11,12,9
20503,Tamil Nadu,Chennai,College Institution,Pudukkottai,Bharathi Vidyalaya College of Education,100,92,192,2,0,2,96
20504,Tamil Nadu,--,Technical/Polytechnic,Pudukkottai,M A R POLYTECHNIC COLLEGE BOOTHAKUDI,1021,50,1071,27,8,35,30
20505,Tamil Nadu,Chennai,College Institution,Ariyalur,Modern College of Education,100,77,177,5,3,8,22
20506,Tamil Nadu,--,Teacher Training,Thoothukkudi,ST.ANN'S TEACHER TRAINING INSTITUTE ADAIKALAPURAM,122,122,244,0,9,9,27
20507,Tamil Nadu,Chennai,College Institution,Dharmapuri,Varuvan Vadivelan College of Education,235,153,388,8,12,20,19
20508,Tamil Nadu,--,Technical/Polytechnic,Erode,ERODE KONGU COLLEGE OF POLYTECHNIC CHENNIMALAI,902,36,938,35,15,50,18
20509,Tamil Nadu,Coimbatore,College Institution,Karur,"M.KUMARASAMY COLLEGE OF ENGINEERING, KARUR",311,129,440,10,23,33,13
20510,Tamil Nadu,--,Technical/Polytechnic,Tiruchirappalli,JENNEYS ACADEMYOF TOURISM AND HOTEL MANAGEMENT K- KALLIKUDI,0,0,0,12,4,16,16
20511,Tamil Nadu,Chennai,College Institution,Vellore,Bharat College of Education,69,31,100,12,2,14,7
20512,Tamil Nadu,--,Teacher Training,Salem,MARUTHI TEACHER TRAINING INSTITUTE ATTUR,100,65,165,6,0,6,27
20513,Tamil Nadu,Chennai,College Institution,Kancheepuram,Vidhya Sagar Women's College of Education,96,96,192,1,7,8,24
20514,Tamil Nadu,--,Technical/Polytechnic,Chennai,CENTRAL POLYTECHNIC COLLEGE KALIKUNDRAM,2667,324,2991,15,7,22,135
20515,Tamil Nadu,Sivaganga,College Institution,Ramanathapuram,"Government Arts College, Paramakudi",1169,604,1773,23,4,27,65
20516,Tamil Nadu,--,Teacher Training,Salem,SHRI VARUDHI TEACHER TRAINING INSTITUTE AMMAPET,0,0,0,0,0,0,0
20517,Tamil Nadu,Madurai,College Institution,Madurai,AMBIGA COLLEGE OF ARTS and SCIENCE,28,28,56,1,5,6,9
20518,Tamil Nadu,--,Teacher Training,Madurai,MEENAMMAL TEACHER TRAINING FOR WOMEN MADURAI NORTH,88,88,176,0,8,8,22
20519,Tamil Nadu,Chennai,College Institution,Vellore,St. Johns College of Engineering and Technology for Women,0,0,0,0,0,0,0
20520,Tamil Nadu,--,Technical/Polytechnic,Kancheepuram,S.R.M. POLYTECHNIC COLLEGE KATTANKULATHUR,751,43,794,21,11,32,24
20521,Tamil Nadu,Chennai,College Institution,Dindigul,K.R. College of Education,100,75,175,5,5,10,17
20522,Tamil Nadu,--,Teacher Training,Karur,GOVERNMENT TEACHER TRAINING INSTITUTE FOR WOMEN CHINNADHARAPURA KARUR,77,77,154,2,3,5,30
20523,Tamil Nadu,Kancheepuram,College Institution,Thiruvallur,Saveetha School of Management,44,16,60,4,2,6,10
20524,Tamil Nadu,--,Technical/Polytechnic,Cuddalore,KRISHNASWAMY MEMORIAL POLYTECHNIC COLLEGE SKUMARAPURAM,1188,101,1289,29,13,42,30
20525,Tamil Nadu,Chennai,College Institution,Kancheepuram,Balaji Institute of Engineering and Technology,698,155,853,24,9,33,25
20526,Tamil Nadu,--,Teacher Training,Krishnagiri,DISTRICT INSTITUTE OF EDUCATION AND TRAINING KRISHNAGIRI,143,85,228,9,9,18,12
20527,Tamil Nadu,Chennai,College Institution,Thiruvallur,Sri Ram Engineering College,1993,592,2585,58,66,124,20
20528,Tamil Nadu,--,Teacher Training,Coimbatore,PARK TEACHER TRAINING INSTITUTE TIRUPUR,12,10,22,3,3,6,3
20529,Tamil Nadu,Tiruchirappalli,College Institution,Tiruchirappalli,"Chettinad College of Arts and Science, Contonment, Tiruchirappalli - 620 001.",258,128,386,17,11,28,13
20530,Tamil Nadu,--,Teacher Training,Tiruppur,EVVA MEMORIAL TEACHER TRAINING INSTITUTE COIMBATORE,46,43,89,4,2,6,14
20531,Tamil Nadu,Chennai,College Institution,Virudhunagar,Arasan Ganesan College of Preceptors,100,94,194,5,3,8,24
20532,Tamil Nadu,--,Teacher Training,Dindigul,ANGINGU TEACHER TRAINING INSTITUTE COLLECTORATE P.O.,125,125,250,4,2,6,41
20533,Tamil Nadu,Chennai,College Institution,Perambalur,"SRINIVASAN COLLEGE OF NURSING PERAMBALUR, PERAMBALUR",51,48,99,0,13,13,7
20534,Tamil Nadu,--,Technical/Polytechnic,Madurai,RUKMINI SHANMUGAM POLYTECHNIC COLLEGE VARICHIYUR,172,0,172,9,0,9,19
20535,Tamil Nadu,Chennai,College Institution,Viluppuram,V.E.T. College of Education,100,65,165,4,4,8,20
20536,Tamil Nadu,--,Technical/Polytechnic,Viluppuram,SURYA POLYTECHNIC COLLEGE KEEZHAKONDAI,1072,74,1146,40,21,61,18
20537,Tamil Nadu,Chennai,College Institution,Thiruvallur,Sams College of Engineering and Technology,1293,260,1553,58,25,83,18
20538,Tamil Nadu,--,Teacher Training,Thiruvallur,SATHIYASAI TEACHER TRAINING INSTITUTE PATTABIRAM,67,63,130,1,5,6,21
20539,Tamil Nadu,Chennai,College Institution,Sivaganga,P.S.Y. College of Education,91,64,155,6,4,10,15
20540,Tamil Nadu,--,Teacher Training,Kancheepuram,SRI.JAYENDRA SARASWATHI SWAMIJI TTI ENATHUR,99,87,186,5,2,7,26
20541,Tamil Nadu,Coimbatore,College Institution,Coimbatore,United Institute of Technology,874,214,1088,41,28,69,15
20542,Tamil Nadu,--,Teacher Training,Coimbatore,HOLY ANGELS TEACHER TRAINING INSTITUTE FOR WOMEN JADAYAMPALAYAM METTUPALAYAM COIMBATORE,22,22,44,0,5,5,8
20543,Tamil Nadu,Chennai,College Institution,Coimbatore,"KARPAGAM NURSING COLLEGE COIMBATORE, COIMBATORE",67,67,134,9,0,9,14
20544,Tamil Nadu,--,Technical/Polytechnic,Dharmapuri,"GOVERNMENT POLYTECHNIC COLLEGE BOOMANDAHALLI VILLAGE, DHARMAPURI",481,27,508,23,11,34,14
20545,Tamil Nadu,Tiruchirappalli,College Institution,Tiruchirappalli,"Shrimati Indira Gandhi College, Tiruchirappalli - 620 002.",5866,5866,11732,0,217,217,54
20546,Tamil Nadu,--,Teacher Training,Sivaganga,ARUMUGAM PILLAI SEETHAI AMMAL TEACHER TRAINING INSTITUTE TIRUPPATTUR,32,32,64,4,3,7,9
20547,Tamil Nadu,Chennai,College Institution,Ariyalur,Vinayaga Education College,135,97,232,6,2,8,29
20548,Tamil Nadu,--,Teacher Training,Nagapattinam,SREE SREENIVAASAR TEACHER TRAINING INSTITUTE PANAGUDI,70,58,128,5,5,10,12
20549,Tamil Nadu,Chennai,College Institution,Erode,Maharani College of Education,135,120,255,8,4,12,21
20550,Tamil Nadu,--,Teacher Training,Karur,DISTRICT INSTITUTE OF EDUCATION AND TRAINING MAYANUR KARUR,185,73,258,12,7,19,13
20551,Tamil Nadu,Chennai,College Institution,Tirunelveli,St.Joseph College of Education,100,79,179,3,5,8,22
20552,Tamil Nadu,--,Teacher Training,Tiruvannamalai,CHEYYAR TEACHER TRAINING INSTITUTE CHEYYAR THIRUVANNAMALAI,62,54,116,6,0,6,19
20553,Tamil Nadu,Chennai,College Institution,Ariyalur,K.Indira College of Education,100,76,176,3,6,9,19
20554,Tamil Nadu,--,Teacher Training,Viluppuram,R.C. TEACHER TRAINING INSTITUTE TINDIVANAM,91,67,158,9,0,9,17
20555,Tamil Nadu,Chennai,College Institution,Tiruvannamalai,Sri Annamalaiyar College of Education,96,63,159,5,4,9,17
20556,Tamil Nadu,--,Teacher Training,Pudukkottai,VSK TEACHER TRAINING INSTITUTE THIRUMAYAM,31,29,60,8,1,9,6
20557,Tamil Nadu,Madurai,College Institution,Madurai,ANNAI FATIMA INSTITUTE OF CATERING TECHNOLOGY,17,1,18,2,2,4,4
20558,Tamil Nadu,--,Teacher Training,Theni,THENI KAMMAVAR SANGAM TEACHER TRAINING INSTITUTE KODUVILARPATTY,172,172,344,2,8,10,34
20559,Tamil Nadu,Chennai,College Institution,Kanniyakumari,"WHITE MEMORIAL COLLEGE OF NURSING, KANYAKUMARI",198,161,359,2,40,42,8
20560,Tamil Nadu,--,Teacher Training,Cuddalore,J S J V TEACHER TRAINING INSTITUTE JAYARAM NAGAR CHELLANGUPPAM,136,125,261,9,0,9,29
20561,Tamil Nadu,Chennai,College Institution,Coimbatore,"ELLEN COLLEGE OF NURSING COIMBATORE, COIMBATORE",171,147,318,10,25,35,9
20562,Tamil Nadu,--,Teacher Training,Ariyalur,SRI LAKSHMI TEACHER TRAINING INSTITUTE VELAYUTHA NAGAR JAYANKONDAM,90,77,167,6,2,8,20
20563,Tamil Nadu,Coimbatore,College Institution,Coimbatore,Park College of Engineering and Technology,3086,770,3856,121,77,198,19
20564,Tamil Nadu,--,Teacher Training,Tiruvannamalai,VIGNESH TEACHER TRAINING INSTITUTE THANDRAMPAT ROAD,117,104,221,9,1,10,22
20565,Tamil Nadu,Vellore,College Institution,Vellore,"Arcot Sri Mahalaalakshmi Women's institute ofmanagement andComputer Applications,Arcot-Arni Road,Villapakkam-632521",39,39,78,0,4,4,19
20566,Tamil Nadu,--,Technical/Polytechnic,Coimbatore,VLB JANAKI AMMAL POLYTECHNIC COLLEGE,884,85,969,12,1,13,74
20567,Tamil Nadu,Chennai,College Institution,Tirunelveli,St. Anthonys College of Education,85,85,170,1,7,8,21
20568,Tamil Nadu,--,Teacher Training,Salem,DR.NAGARATHINAMS TEACHER TRAINING INSTITUTE SALEM,16,15,31,5,1,6,5
20569,Tamil Nadu,Tirunelveli,College Institution,Tirunelveli,"C.S.I. Jeyaraj Annapackiam College, Nallur - 627 853, Tirunelveli Dist .",920,616,1536,11,31,42,36
20570,Tamil Nadu,--,Nursing,Chennai,SOORIYA SCHOOL OF NURSING CHENNAI,66,65,131,0,9,9,14
20571,Tamil Nadu,Chennai,College Institution,Chennai,Meenakshi College of Engineering,1849,1035,2884,77,85,162,17
20572,Tamil Nadu,--,Teacher Training,Thiruvallur,SRI SATHYA SAI TEACHER TRAINING INSTITUTE RAJAPALAYAM,100,100,200,9,0,9,22
20573,Tamil Nadu,Tiruchirappalli,College Institution,Tiruchirappalli,C.A.R.E. School of Business Management,64,13,77,6,11,17,4
20574,Tamil Nadu,--,Teacher Training,Tiruvannamalai,DISTRICT INSTITUTE OF EDUCATION AND TRAINING KILPENNATHUR THIRUVANNAMALAI,195,112,307,11,6,17,18
20575,Tamil Nadu,Tirunelveli,College Institution,Tirunelveli,PET Engineering College,1768,818,2586,47,85,132,19
20576,Tamil Nadu,--,Teacher Training,Thiruvallur,KALAI BHARATHI TEACHER TRAINING INSTITUTION SHOLINGHUR,86,72,158,6,0,6,26
20577,Tamil Nadu,Chennai,College Institution,Tiruvannamalai,Oxford College of Engineering,352,31,383,64,16,80,4
20578,Tamil Nadu,--,Technical/Polytechnic,Nagapattinam,A V C C POLYTECHNIC COLLEGE MANNAMPANDAL,1324,150,1474,31,25,56,26
20579,Tamil Nadu,Coimbatore,College Institution,Tiruppur,Jansons School of Business,148,80,228,17,1,18,12
20580,Tamil Nadu,--,Nursing,Namakkal,ANNAI ARPUTHAM INSTITUTE OF DIPLOMA IN NURSING NAMAKKAL,29,26,55,0,7,7,7
20581,Tamil Nadu,Chennai,College Institution,Cuddalore,J.S.J.V.College of Education,88,69,157,10,0,10,15
20582,Tamil Nadu,--,Teacher Training,Krishnagiri,ROYAL TEACHER TRAINNING INSTITUTE KATTINAYANAPALLI,60,53,113,10,1,11,10
20583,Tamil Nadu,Chennai,College Institution,Kancheepuram,Gopal Ramalingam Memorial Engineering College,678,141,819,31,5,36,22
20584,Tamil Nadu,--,Teacher Training,Madurai,ORIENTAL TEACHER TRAINING INSTITUTE UTHANGUDI NEAR MATTUTHAVANI BUS STAND,64,58,122,2,3,5,24
20585,Tamil Nadu,Chennai,College Institution,Dindigul,J.K College of Education,133,80,213,14,0,14,15
20586,Tamil Nadu,--,Technical/Polytechnic,Thiruvallur,THIRUTHANI POLYTECHNIC COLLEGE LAKSHMAPURAM,468,13,481,18,3,21,22
20587,Tamil Nadu,Chennai,College Institution,Pudukkottai,"KARPAGA VINAYAGA COLLEGE OF NURSING PUDUKKOTTAI, PUDUKKOTTAI",200,200,400,1,16,17,23
20588,Tamil Nadu,--,Technical/Polytechnic,Tiruppur,SAKTHI INSTITUTE OF FASHION TECHNOLOGY PERIYAPALAYAM,855,91,946,25,10,35,27
20589,Tamil Nadu,Chennai,College Institution,Erode,Padmashree College of Education,98,62,160,9,2,11,14
20590,Tamil Nadu,--,Nursing,Erode,C K SCHOOL OF NURSING ERODE,52,52,104,0,5,5,20
20591,Tamil Nadu,Chennai,College Institution,Chennai,Vinayaka College of Education,127,103,230,1,11,12,19
20592,Tamil Nadu,--,Teacher Training,Tiruchirappalli,T.E THIYAGARAJA PILLAI I.A.S TEACHER TRAINING THILAINAGAR,21,21,42,5,1,6,7
20593,Tamil Nadu,Chennai,College Institution,Coimbatore,P.P.G. College of Education,135,90,225,4,9,13,17
20594,Tamil Nadu,--,Technical/Polytechnic,Dindigul,"SHRI RAMANAs ABC POLYTECHNIC COLLEGE PALAM RAJAKKAPATTI, DINDIGUL",171,6,177,6,9,15,11
20595,Tamil Nadu,Chennai,College Institution,Theni,"SHANTHI NIKETAN COLLEGE OF EDUCATION, THENI",93,59,152,2,6,8,19
20596,Tamil Nadu,--,Teacher Training,Vellore,SHRI AMRITA TEACHER TRAINING INSTITUTE KUTINCHI,68,63,131,4,1,5,26
20597,Tamil Nadu,Vellore,College Institution,Cuddalore,"Thiru Kolanchiyappar Govt.Arts College,Virudachalam-606001",2721,1636,4357,61,38,99,44
20598,Tamil Nadu,--,Nursing,Dharmapuri,D N V SCHOOL OF NURSING DHARMAPURI,48,48,96,0,7,7,13
20599,Tamil Nadu,Tiruchirappalli,College Institution,Thiruvarur,"Sulthana Abdullah Rowther College for Women, Thiruvarur - 614 101.",151,151,302,1,14,15,20
20600,Tamil Nadu,--,Teacher Training,Dharmapuri,SRI SHAKTHI TEACHER TRAINING INSTITUTE RAILWAY STATION ROAD,20,15,35,4,2,6,5
20601,Tamil Nadu,Tiruchirappalli,College Institution,Thanjavur,"Rajagiri Dawood Batcha College of Arts and Science, Papanasam, Thanjavur - 614 207.",463,271,734,16,21,37,19
20602,Tamil Nadu,--,Teacher Training,Namakkal,MAHENDHIRA TEACHER TRAINING INSTITUTE TIRUCHENGODE,0,0,0,2,4,6,6
20603,Tamil Nadu,Chennai,College Institution,Madurai,Sri Aurobindo Mira College of Education,100,83,183,4,6,10,18
20604,Tamil Nadu,--,Teacher Training,Vellore,MEERA TEACHER TRAINING INSTITUTE WALAJA,107,89,196,7,2,9,21
20605,Tamil Nadu,Chennai,College Institution,Thanjavur,St. John De Britto College of Education,135,120,255,28,8,36,7
20606,Tamil Nadu,--,Teacher Training,Vellore,KALVI ULAGAM TEACHER TRAINING SCHOOL KILITHANPATTARAI KATPADI,32,29,61,1,5,6,10
20607,Tamil Nadu,Chennai,College Institution,Erode,Gandhi College of Education,89,67,156,4,7,11,14
20608,Tamil Nadu,--,Technical/Polytechnic,Pudukkottai,"APOLLO SUBBULAKSHMI POLYTECHNIC COLLEGE KUNNATHUR VILLAGE, PUDUKOTTAI",133,9,142,35,11,46,3
20609,Tamil Nadu,Chennai,College Institution,Madurai,"St. Justins College of Education, (Aided)",232,232,464,0,15,15,30
20610,Tamil Nadu,--,Technical/Polytechnic,Karur,SITARAJARAM POLYTECHNIC COLLEGE,63,6,69,14,1,15,4
20611,Tamil Nadu,Vellore,College Institution,Vellore,"marudhar Kesari Jain College for Women,Marudhar Nagar,Chinnakallupalli,Vaniyambadi-635751",2022,2022,4044,0,113,113,35
20612,Tamil Nadu,--,Technical/Polytechnic,Coimbatore,"JEEVAS POLYTECHNIC COLLEGE, COIMBATORE",286,21,307,21,12,33,9
20613,Tamil Nadu,Chennai,College Institution,Dindigul,R.V.S.College of Education,100,73,173,5,6,11,15
20614,Tamil Nadu,--,Technical/Polytechnic,Thiruvarur,NETHAJI SUBASH CHANDRA BOSE POLYUTECHNIC COLLEGE KEELAKAVATHUKUDY,452,16,468,24,7,31,15
20615,Tamil Nadu,Tiruchirappalli,College Institution,Tiruchirappalli,"M.I.E.T. Arts College, Gundur, Tiruchirappalli - 620 007.",555,132,687,34,10,44,15
20616,Tamil Nadu,--,Nursing,Kancheepuram,"AVVAIL SCHOOL OF NURSING, KANCHEEPURAM",0,0,0,0,5,5,5
20617,Tamil Nadu,Chennai,College Institution,Tiruvannamalai,Sri Ramajayam College of Education,61,61,122,0,5,5,24
20618,Tamil Nadu,--,Teacher Training,Tiruchirappalli,DISTRICT INSTITUTE OF EDUCATION and TRAINING TIRUCHIRAPALLI,159,123,282,14,5,19,14
20619,Tamil Nadu,Thiruvarur,"Central University of Tamil Nadu, Tiruvarur",Thiruvarur,University-Type,255,148,403,10,4,14,28
20620,Tamil Nadu,--,Teacher Training,Virudhunagar,ANGEL TEACHER TRAINING INSTITUTE RAJAPALYAM,73,72,145,3,3,6,24
20621,Tamil Nadu,Chennai,College Institution,Madurai,Suresh Bernard Teacher Training College,43,37,80,2,11,13,6
20622,Tamil Nadu,--,Nursing,Vellore,"JPKM, SCHOOL OF NURSING, VELLORE",56,56,112,1,5,6,18
20623,Tamil Nadu,Chennai,College Institution,Kanniyakumari,Bethlahem College of Education,235,212,447,6,13,19,23
20624,Tamil Nadu,--,Technical/Polytechnic,Perambalur,SRINIVASAN POLYTECHNIC COLLEGE PERAMBALUR,1242,81,1323,87,35,122,10
20625,Tamil Nadu,Chennai,College Institution,Vellore,Sree Krishna College of Engineering,478,0,478,46,0,46,10
20626,Tamil Nadu,--,Technical/Polytechnic,Dharmapuri,SREE KUMARAGURU POLYTECHNIC COLLEGE HARUR,220,8,228,18,6,24,9
20627,Tamil Nadu,Chennai,College Institution,Namakkal,SRP College of Education,100,57,157,2,5,7,22
20628,Tamil Nadu,--,Teacher Training,Kancheepuram,PROF. S.A. TEACHERS TRAINING INSTITUTE CHEMENCHERY,21,21,42,3,2,5,8
20629,Tamil Nadu,Coimbatore,College Institution,Salem,Bharathiyar Institute of Engineering for Women,524,524,1048,29,21,50,20
20630,Tamil Nadu,--,Technical/Polytechnic,Pudukkottai,VENKATESWARA POLYTECHNIC COLLEGE KAIKKURICHI,1042,27,1069,57,20,77,13
20631,Tamil Nadu,Tiruchirappalli,College Institution,Thanjavur,"Sri Sankara Arts and Science College, Neelathanallur Road, Asur, Kumbakonam, 612 501",169,92,261,11,14,25,10
20632,Tamil Nadu,--,Technical/Polytechnic,Virudhunagar,ARASAN GANESAN POLYTECHNIC COLLEGE AMATHUR,1078,125,1203,39,17,56,21
20633,Tamil Nadu,Tiruchirappalli,College Institution,Karur,"Government Arts College, Aiyar Malai, Kulithalai, Karur - 639 120",945,636,1581,7,1,8,197
20634,Tamil Nadu,--,Nursing,Dindigul,OUR LADY SCHOOL OF NURSING DINDIGUL,76,76,152,0,8,8,19
20635,Tamil Nadu,Chennai,College Institution,Namakkal,"ARVINTH COLLEGE OF NURSING NAMAKKAL, NAMAKKAL",140,123,263,4,19,23,11
20636,Tamil Nadu,--,Teacher Training,Cuddalore,VIVEKANANDA TEACHER TRAINING INSTITUTE NEYVELI,83,62,145,5,1,6,24
20637,Tamil Nadu,Chennai,College Institution,Chennai,"KILPAUK MEDICAL COLLEGE CHENNAI, CHENNAI",500,270,770,182,109,291,2
20638,Tamil Nadu,--,Teacher Training,Coimbatore,SIVA TEACHERS TRAINING INSTITUTION POLLACHI,39,39,78,0,6,6,13
20639,Tamil Nadu,Chennai,College Institution,Tirunelveli,Rajas College of Education,99,83,182,2,7,9,20
20640,Tamil Nadu,--,Technical/Polytechnic,Kancheepuram,ARULMIGU THIRUPURASUNDARI AMMAN POLYTECHNIC COLLEGE EGAI,1075,141,1216,19,10,29,41
20641,Tamil Nadu,Chennai,"Anna University, Chennai",Chennai,University-Type,2936,1281,4217,363,200,563,7
20642,Tamil Nadu,--,Teacher Training,Pudukkottai,SRI SUBA BHARTHI TEACHER TRAINING INSTITUTE FOR WOMEN PUDUKKOTTAI,39,39,78,2,4,6,13
20643,Tamil Nadu,Chennai,College Institution,Dharmapuri,Velammal College of Education,100,38,138,5,3,8,17
20644,Tamil Nadu,--,Technical/Polytechnic,Ramanathapuram,UDHAYAM POLYTECHNIC COLLEGE THANGACHIMADAM,199,0,199,14,5,19,10
20645,Tamil Nadu,Chennai,College Institution,Namakkal,Esther College of Education,133,105,238,9,4,13,18
20646,Tamil Nadu,--,Nursing,Chennai,"SRI KUMARAN SCHOOL OF NURSING, CHENNAI",0,0,0,0,0,0,0
20647,Tamil Nadu,Chennai,College Institution,Kancheepuram,Cholan College of Education,106,30,136,2,6,8,17
20648,Tamil Nadu,--,Nursing,Thanjavur,"STAR LION SCHOOL OF NURSING, THANJAVUR",0,0,0,0,0,0,0
20649,Tamil Nadu,Chennai,College Institution,Nagapattinam,Newton College of Education,84,16,100,4,3,7,14
20650,Tamil Nadu,--,Teacher Training,Cuddalore,MANGALAM TEACHER TRAINING INSTITUTE BHUVANAGIRI CHIDAMBARAM,90,90,180,6,0,6,30
20651,Tamil Nadu,Coimbatore,College Institution,Coimbatore,CMS College of Science and Commerce,2875,889,3764,48,92,140,26
20652,Tamil Nadu,--,Teacher Training,Salem,SARADHA TEACHER TRAINING INSTITUTE SANKAGIRI N H ROAD,20,20,40,2,5,7,5
20653,Tamil Nadu,Chennai,College Institution,Chennai,GAC FOR MEN,2881,0,2881,106,47,153,18
20654,Tamil Nadu,--,Teacher Training,Madurai,THAMIL THAI TEACHER TRAINING INSTITUTE ELUMALAI,88,88,176,2,4,6,29
20655,Tamil Nadu,Tiruchirappalli,College Institution,Karur,"Jairams Arts and Science College, NH7, Karur-Madurai By-Pass Road, Aattamparappu, Kakavadi (P.O), Karur - 639 003.",1008,448,1456,25,18,43,33
20656,Tamil Nadu,--,Teacher Training,Dharmapuri,JAYE JOTHI TEACHER TRAINING INSTITUTE PAL PALACODE,35,26,61,3,3,6,10
20657,Tamil Nadu,Chennai,College Institution,Kancheepuram,Cosmopolitan College of Education,30,18,48,4,4,8,6
20658,Tamil Nadu,--,Teacher Training,Tiruvannamalai,KANCHI SHRI KAMATCHI AMMAN TEACHERS TRAINING INSTITUTE MANGAI KOOT ROAD,100,92,192,4,2,6,32
20659,Tamil Nadu,Chennai,College Institution,Tirunelveli,Annai Meenakshi College of Education,100,77,177,3,8,11,16
20660,Tamil Nadu,--,Technical/Polytechnic,Pudukkottai,SSR POLYTECHNIC COLLEGE,337,34,371,28,3,31,11
20661,Tamil Nadu,Chennai,College Institution,Tiruchirappalli,"Sri Saraswathi College of Education, Tiruchirappalli",71,60,131,3,6,9,14
20662,Tamil Nadu,--,Teacher Training,Kanniyakumari,D.V.D. TEACHER TRAINING INSTITUTE KANYAKUMARI,99,65,164,2,6,8,20
20663,Tamil Nadu,Chennai,"Madras University, Chennai",Chennai,University-Type,1435,696,2131,185,49,234,9
20664,Tamil Nadu,--,Teacher Training,Thiruvallur,SRI DEVI TEACHER TRAINING INSTITUTE KRISHNAPURAM PONNERI,69,62,131,3,3,6,21
20665,Tamil Nadu,Vellore,College Institution,Vellore,"ArcotSriMahalakshmiWomen""s College,Arni M,Villapakkam-632 521ain Road",1963,1963,3926,1,74,75,52
20666,Tamil Nadu,--,Teacher Training,Pudukkottai,MANICKAM TEACHER TRAINING INSTITUTE ARANTHANGI,63,59,122,4,2,6,20
20667,Tamil Nadu,Tiruchirappalli,College Institution,Thanjavur,Parisutham Institute of Technology and Science,1059,430,1489,53,30,83,17
20668,Tamil Nadu,--,Technical/Polytechnic,Thiruvallur,C.M.ANNALMALAI POLYTECHNIC COLLEGE R K PET,769,32,801,11,11,22,36
20669,Tamil Nadu,Chennai,College Institution,Chennai,"MADRAS MEDICAL COLLEGE CHENNAI, CHENNAI",1691,877,2568,117,95,212,12
20670,Tamil Nadu,--,Technical/Polytechnic,Tiruvannamalai,KUMARAN POLYTECHNIC COLLEGE THENMATHUR,687,47,734,46,15,61,12
20671,Tamil Nadu,Chennai,College Institution,Madurai,Yadava College of Education,99,84,183,5,6,11,16
20672,Tamil Nadu,--,Teacher Training,Cuddalore,JAYANTHI PADMANABA TEACHER TRAINING INSTITUTE SRISUSHNAM,86,73,159,9,3,12,13
20673,Tamil Nadu,Ariyalur,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",Ariyalur,University-Type,713,242,955,193,92,285,3
20674,Tamil Nadu,--,Teacher Training,Perambalur,VIDYA VIKAS PLUS TEACHER TRAINING INSTITUTE UDUMBIAM,40,26,66,5,1,6,11
20675,Tamil Nadu,Chennai,College Institution,Thiruvallur,Shri Saraswathi College of Education,77,71,148,2,5,7,21
20676,Tamil Nadu,--,Teacher Training,Krishnagiri,SHRI BHARATHI TEACHER TRAINING INSTITUTE ROYAKOTTAH,66,51,117,5,1,6,19
20677,Tamil Nadu,Chennai,College Institution,Thiruvarur,GOVERNMENT TIRUVARUR MEDICAL COLLEGEAND HOSPITAL TIRUVARUR,99,48,147,0,0,0,0
20678,Tamil Nadu,--,Teacher Training,Kancheepuram,MADHA INSTITUTE OF TEACHER TRAINING KUNRUTHUR,39,36,75,5,3,8,9
20679,Tamil Nadu,Chennai,College Institution,Ramanathapuram,Sri Karpaga Vinayagar College of Education,79,64,143,5,4,9,15
20680,Tamil Nadu,--,Nursing,Vellore,"BPR SCHOOL OF NURSING, VELLORE",80,80,160,0,7,7,22
20681,Tamil Nadu,Chennai,College Institution,Chennai,QUAID E MILLETH COLLEGE FOR MEN,878,447,1325,26,0,26,50
